peak,chr,start,end,summit,category,location
peak_14405,11,10950838,10950988,10950923,Other,Other region
peak_14410,11,10984158,10984349,10984249,Other,Promoter
peak_14412,11,11021717,11021901,11021800,Other,Promoter
peak_14415,11,11033727,11033937,11033820,Other,Other region
peak_14420a,11,11120532,11120839,11120573,Other,Promoter
peak_14428,11,11219303,11219468,11219413,Other,Active enhancer
peak_14431,11,11260256,11260421,11260344,Other,Active enhancer
peak_14433,11,11267806,11267953,11267874,Other,Promoter
peak_14434,11,11268763,11268935,11268874,Other,Active enhancer
peak_14438,11,11301364,11301452,11301411,Upregulated,Promoter
peak_14439,11,11303420,11303547,11303467,Other,Promoter
peak_14442,11,11331016,11331132,11331071,Other,Promoter
peak_14444,11,11336936,11337091,11337024,Other,Promoter
peak_14451a,11,11437911,11438213,11437979,Other,Promoter
peak_14461,11,11510668,11510789,11510718,Other,Other region
peak_14466,11,11578458,11578679,11578613,Group 1,Active enhancer
peak_14467,11,11583565,11583820,11583618,Group 1,Active enhancer
peak_14471,11,11639474,11639598,11639536,Other,Other region
peak_14474b,11,11653588,11653898,11653783,Group 2,Active enhancer
peak_14478,11,11682730,11682906,11682808,Group 1,Active enhancer
peak_14483,11,11719412,11719675,11719544,Upregulated,Promoter
peak_14485,11,11731504,11731771,11731634,Group 1,Active enhancer
peak_14486c,11,11740359,11740747,11740650,Group 2,Active enhancer
peak_14487,11,11741910,11742064,11741973,Group 2,Active enhancer
peak_14488,11,11747095,11747262,11747156,Other,Active enhancer
peak_14492,11,11763465,11763611,11763531,Group 2,Other region
peak_14497,11,11791441,11791648,11791493,Group 1,Promoter
peak_14498,11,11792660,11792926,11792797,Other,Promoter
peak_14503,11,11872577,11872719,11872648,Group 1,Other region
peak_14505,11,11882821,11882934,11882867,Upregulated,Promoter
peak_14507b,11,11889767,11889945,11889898,Other,Promoter
peak_14508,11,11908664,11908831,11908740,Other,Active enhancer
peak_14511,11,11927613,11927778,11927707,Group 1,Active enhancer
peak_14515,11,11961178,11961339,11961284,Other,Promoter
peak_14516,11,11961670,11961773,11961720,Other,Promoter
peak_14517,11,11963289,11963503,11963419,Other,Active enhancer
peak_14525a,11,12007803,12008155,12007877,Other,Promoter
peak_14531,11,12051526,12051743,12051662,Other,Promoter
peak_14533,11,12056689,12056850,12056760,Upregulated,Other region
peak_14536,11,12104849,12104963,12104889,Other,Promoter
peak_14538,11,12158137,12158225,12158183,Other,Promoter
peak_14539,11,12158332,12158491,12158409,Other,Promoter
peak_14541b,11,12161693,12162032,12161942,Other,Promoter
peak_14542b,11,12162749,12163022,12162988,Group 2,Promoter
peak_14544b,11,12169385,12169656,12169606,Other,Promoter
peak_14545,11,12171195,12171324,12171285,Other,Promoter
peak_14546,11,12171381,12171579,12171504,Other,Promoter
peak_14548a,11,12187224,12187575,12187312,Upregulated,Promoter
peak_14550,11,12208828,12208917,12208858,Other,Promoter
peak_14551,11,12208985,12209188,12209134,Other,Promoter
peak_14553,11,12223640,12223736,12223691,Other,Promoter
peak_14556,11,12247670,12247764,12247703,Other,Promoter
peak_14559b,11,12270543,12270743,12270667,Other,Other region
peak_14561,11,12289590,12289694,12289652,Other,Promoter
peak_14564a,11,12326155,12326428,12326211,Other,Promoter
peak_14565a,11,12345074,12345361,12345121,Group 2,Promoter
peak_14568,11,12388522,12388610,12388561,Other,Promoter
peak_14570,11,12401012,12401202,12401072,Other,Active enhancer
peak_14571,11,12402580,12402703,12402634,Other,Other region
peak_14574,11,12484887,12484997,12484958,Other,Other region
peak_14576a,11,12516899,12517100,12516940,Other,Promoter
peak_14579b,11,12536281,12536534,12536477,Other,Promoter
peak_14585,11,12719857,12720020,12719923,Other,Promoter
peak_14588,11,12744037,12744258,12744090,Other,Promoter
peak_14589,11,12744568,12744682,12744635,Other,Promoter
peak_14591,11,12771515,12771625,12771564,Group 2,Other region
peak_14593,11,12800758,12800957,12800875,Other,Promoter
peak_14596,11,12811773,12811913,12811833,Other,Promoter
peak_14599,11,12860408,12860500,12860465,Other,Promoter
peak_14600,11,12860888,12861006,12860929,Other,Promoter
peak_14602,11,12865078,12865245,12865167,Group 1,Active enhancer
peak_14606b,11,12955394,12955655,12955605,Other,Active enhancer
peak_14607,11,12966974,12967153,12967094,Group 1,Active enhancer
peak_14608,11,12972206,12972371,12972280,Group 1,Active enhancer
peak_14609,11,13038031,13038206,13038141,Group 2,Active enhancer
peak_14611,11,13041336,13041452,13041404,Other,Promoter
peak_14613,11,13058525,13058662,13058587,Other,Promoter
peak_14618a,11,13121221,13121404,13121278,Other,Active enhancer
peak_14620,11,13151809,13151954,13151894,Other,Promoter
peak_14622,11,13152263,13152438,13152389,Other,Promoter
peak_14624,11,13159850,13160018,13159922,Other,Promoter
peak_14625,11,13176399,13176692,13176575,Other,Promoter
peak_14626,11,13177606,13177697,13177648,Other,Other region
peak_14628,11,13191153,13191338,13191216,Other,Other region
peak_14630,11,13207833,13208040,13207900,Upregulated,Promoter
peak_14632,11,13208729,13208874,13208770,Other,Active enhancer
peak_14641,11,13300019,13300160,13300090,Group 2,Other region
peak_14646,11,13341358,13341486,13341437,Other,Promoter
peak_14648,11,13353058,13353151,13353111,Other,Other region
peak_14649c,11,13424102,13424551,13424409,Other,Promoter
peak_14650b,11,13483747,13483946,13483893,Group 1,Other region
peak_14653,11,13524419,13524565,13524466,Other,Promoter
peak_14654,11,13524875,13525041,13524944,Other,Promoter
peak_14656,11,13528349,13528539,13528398,Other,Promoter
peak_14657,11,13528866,13528984,13528910,Other,Promoter
peak_14661,11,13551558,13551702,13551644,Other,Active enhancer
peak_14663b,11,13568425,13568717,13568620,Upregulated,Active enhancer
peak_14670,11,13642058,13642263,13642156,Other,Promoter
peak_14674,11,13729352,13729560,13729464,Group 2,Active enhancer
peak_14679,11,13839969,13840086,13840023,Group 1,Active enhancer
peak_14681,11,13858573,13858714,13858642,Other,Active enhancer
peak_14682,11,13858889,13859185,13858988,Other,Active enhancer
peak_14691,11,14025560,14025684,14025611,Other,Other region
peak_14692,11,14027763,14027885,14027800,Group 1,Other region
peak_14698,11,14101418,14101561,14101493,Other,Active enhancer
peak_14701,11,14102726,14102857,14102780,Group 1,Other region
peak_14703,11,14104400,14104501,14104457,Other,Promoter
peak_14704,11,14104821,14104905,14104865,Other,Promoter
peak_14708,11,14128512,14128627,14128566,Group 1,Other region
peak_14710,11,14144752,14144863,14144801,Group 1,Other region
peak_14714,11,14199754,14199875,14199817,Other,Promoter
peak_14717a,11,14227522,14227783,14227599,Other,Other region
peak_14719,11,14240306,14240481,14240395,Group 2,Active enhancer
peak_14726,11,14266968,14267130,14267047,Other,Other region
peak_14733,11,14305788,14305880,14305824,Other,Other region
peak_14735,11,14311921,14312031,14311977,Other,Promoter
peak_14736,11,14312168,14312288,14312228,Other,Promoter
peak_14738,11,14320961,14321228,14321040,Other,Promoter
peak_14739,11,14324261,14324447,14324393,Group 2,Active enhancer
peak_14740b,11,14324694,14324983,14324885,Group 2,Active enhancer
peak_14741,11,14326092,14326185,14326132,Group 2,Active enhancer
peak_14742,11,14326539,14326743,14326624,Group 2,Active enhancer
peak_14746,11,14343400,14343564,14343496,Other,Promoter
peak_14757,11,14410832,14410952,14410899,Group 1,Other region
peak_14760,11,14431246,14431378,14431312,Other,Promoter
peak_14763,11,14456556,14456739,14456647,Group 2,Active enhancer
peak_14764,11,14456998,14457166,14457099,Group 1,Active enhancer
peak_14765,11,14458746,14458881,14458798,Group 2,Active enhancer
peak_14766,11,14463806,14463984,14463891,Group 1,Active enhancer
peak_14767a,11,14470995,14471201,14471043,Group 2,Active enhancer
peak_14768,11,14474254,14474551,14474438,Group 1,Active enhancer
peak_14769,11,14475484,14475703,14475584,Group 1,Active enhancer
peak_14774,11,14499288,14499498,14499383,Group 1,Other region
peak_14776,11,14522773,14522895,14522847,Group 1,Other region
peak_14777,11,14525008,14525158,14525079,Other,Other region
peak_14778,11,14547393,14547562,14547489,Group 2,Other region
peak_14786,11,14626211,14626385,14626277,Group 2,Other region
peak_14787,11,14629356,14629459,14629411,Other,Other region
peak_14789,11,14668839,14669064,14668925,Other,Promoter
peak_14791,11,14669391,14669518,14669462,Other,Promoter
peak_14792b,11,14676114,14676320,14676259,Other,Promoter
peak_14793,11,14676803,14676933,14676870,Other,Other region
peak_14799,11,14731342,14731459,14731400,Group 1,Other region
peak_14800,11,14749135,14749222,14749176,Other,Other region
peak_14802,11,14758130,14758233,14758190,Group 1,Other region
peak_14803,11,14759814,14759982,14759915,Other,Active enhancer
peak_14807,11,14783175,14783292,14783237,Group 2,Active enhancer
peak_14808b,11,14783396,14783563,14783515,Group 1,Active enhancer
peak_14809,11,14783988,14784121,14784049,Other,Active enhancer
peak_14812,11,14813001,14813145,14813059,Other,Promoter
peak_14813,11,14837056,14837181,14837124,Group 1,Active enhancer
peak_14815,11,14859990,14860219,14860036,Other,Other region
peak_14820,11,14885627,14885760,14885706,Upregulated,Other region
peak_14822,11,14942628,14942750,14942660,Upregulated,Other region
peak_14825,11,14970817,14970931,14970861,Other,Other region
peak_14828,11,14993771,14993978,14993840,Group 1,Other region
peak_14830,11,15001624,15001768,15001703,Other,Promoter
peak_14832,11,15012851,15013034,15012916,Other,Other region
peak_14839,11,15110194,15110263,15110230,Other,Other region
peak_14841,11,15112239,15112364,15112286,Other,Other region
peak_14844,11,15135867,15135999,15135928,Other,Other region
peak_14852,11,15207930,15208162,15208029,Group 1,Active enhancer
peak_14857,11,15283175,15283290,15283241,Other,Other region
peak_14858,11,15295971,15296100,15296006,Other,Active enhancer
peak_14859,11,15296718,15296816,15296771,Other,Promoter
peak_14860,11,15297141,15297353,15297251,Other,Promoter
peak_14862b,11,15306632,15306906,15306821,Group 2,Other region
peak_14870,11,15368301,15368417,15368374,Other,Other region
peak_14872,11,15388168,15388308,15388251,Other,Other region
peak_14877,11,15441426,15441555,15441517,Other,Active enhancer
peak_14883,11,15480506,15480714,15480583,Other,Promoter
peak_14895,11,15613080,15613217,15613150,Other,Promoter
peak_14896,11,15613529,15613644,15613569,Other,Promoter
peak_14897,11,15613748,15613902,15613809,Other,Other region
peak_14899,11,15619697,15619967,15619844,Upregulated,Active enhancer
peak_14913,11,15784742,15784894,15784811,Other,Other region
peak_14922,11,15869609,15869820,15869721,Group 1,Other region
peak_14924,11,15874926,15875133,15875001,Other,Promoter
peak_14925,11,15878290,15878428,15878363,Other,Promoter
peak_14928,11,15908091,15908189,15908146,Other,Other region
peak_14929,11,15931125,15931239,15931169,Other,Promoter
peak_14933,11,15976125,15976268,15976209,Upregulated,Other region
peak_14938,11,16047252,16047362,16047306,Other,Other region
peak_14942,11,16055879,16055975,16055926,Group 1,Active enhancer
peak_14945,11,16065833,16066034,16065950,Group 1,Active enhancer
peak_14947,11,16068001,16068086,16068046,Other,Active enhancer
peak_14950b,11,16072447,16072738,16072609,Other,Other region
peak_14952,11,16085513,16085635,16085590,Group 1,Other region
peak_14953,11,16093005,16093164,16093066,Other,Promoter
peak_14954,11,16110954,16111105,16111018,Group 1,Other region
peak_14955a,11,16115759,16116014,16115872,Other,Promoter
peak_14957,11,16118507,16118629,16118596,Other,Other region
peak_14958b,11,16120215,16120375,16120334,Other,Other region
peak_14959a,11,16122689,16122955,16122790,Other,Promoter
peak_14964,11,16131653,16131766,16131705,Other,Other region
peak_14966,11,16152015,16152107,16152056,Other,Promoter
peak_14967,11,16153258,16153423,16153336,Other,Promoter
peak_14968,11,16166056,16166163,16166108,Other,Promoter
peak_14973,11,16180174,16180278,16180229,Other,Other region
peak_14977,11,16215116,16215298,16215229,Other,Promoter
peak_14978,11,16216868,16217037,16216948,Other,Promoter
peak_14990,11,16335737,16335871,16335802,Other,Other region
peak_14995,11,16355546,16355672,16355616,Other,Active enhancer
peak_15005,11,16395837,16396102,16395989,Other,Promoter
peak_15011,11,16433412,16433594,16433490,Group 2,Other region
peak_15022,11,16574550,16574764,16574671,Other,Promoter
peak_15023,11,16575105,16575213,16575156,Other,Promoter
peak_15036,11,16695352,16695531,16695463,Group 2,Other region
peak_15042,11,16750622,16750775,16750713,Group 2,Other region
peak_15044,11,16758615,16758759,16758663,Other,Other region
peak_15050,11,16874372,16874459,16874404,Group 1,Other region
peak_15053b,11,16928198,16928645,16928517,Group 1,Active enhancer
peak_15058,11,16974883,16975145,16975031,Other,Promoter
peak_15061,11,17054327,17054467,17054389,Group 1,Active enhancer
peak_15062,11,17055435,17055639,17055489,Group 1,Active enhancer
peak_15077b,11,17206527,17206772,17206722,Group 2,Other region
peak_15078a,11,17211875,17212220,17211936,Group 1,Active enhancer
peak_15081,11,17235478,17235628,17235550,Other,Active enhancer
peak_15087,11,17284615,17284764,17284694,Group 1,Other region
peak_15101,11,17508866,17509051,17508945,Group 2,Other region
peak_15111,11,17565748,17565908,17565853,Other,Other region
peak_15112b,11,17566137,17566357,17566282,Other,Other region
peak_15113,11,17567350,17567434,17567391,Upregulated,Other region
peak_15114a,11,17567648,17567973,17567704,Upregulated,Other region
peak_15118,11,17599375,17599548,17599483,Other,Other region
peak_15126b,11,17664207,17664557,17664450,Group 2,Other region
peak_15130c,11,17711591,17712143,17711872,Group 2,Other region
peak_15131,11,17713935,17714120,17714062,Other,Promoter
peak_15134,11,17719630,17719930,17719672,Other,Active enhancer
peak_15135,11,17720221,17720359,17720274,Other,Active enhancer
peak_15137,11,17733382,17733462,17733417,Other,Other region
peak_15141,11,17755361,17755466,17755398,Other,Promoter
peak_15144,11,17782853,17782969,17782922,Other,Promoter
peak_15147,11,17803022,17803152,17803067,Other,Promoter
peak_15148,11,17806808,17806964,17806864,Group 1,Active enhancer
peak_15149a,11,17809909,17810391,17810076,Group 1,Active enhancer
peak_15150,11,17839660,17839828,17839747,Group 1,Active enhancer
peak_15155,11,17912783,17912898,17912840,Other,Active enhancer
peak_15157,11,17940279,17940394,17940341,Upregulated,Active enhancer
peak_15159,11,17964533,17964816,17964636,Other,Promoter
peak_15161,11,17984143,17984213,17984174,Other,Promoter
peak_15162,11,17984544,17984714,17984650,Other,Promoter
peak_15166,11,18019051,18019141,18019096,Other,Other region
peak_15167,11,18019517,18019615,18019559,Group 1,Other region
peak_15168,11,18020910,18021031,18020950,Group 1,Other region
peak_15173,11,18109158,18109268,18109211,Upregulated,Other region
peak_15174,11,18110627,18110775,18110668,Other,Other region
peak_15175,11,18202356,18202516,18202437,Other,Other region
peak_15176,11,18202620,18202756,18202707,Other,Other region
peak_15177,11,18203437,18203551,18203479,Other,Other region
peak_15180,11,18216349,18216522,18216438,Other,Promoter
peak_15184,11,18246498,18246719,18246638,Other,Active enhancer
peak_15187,11,18255651,18255963,18255814,Other,Active enhancer
peak_15189,11,18265053,18265209,18265141,Other,Active enhancer
peak_15191,11,18265426,18265630,18265561,Other,Active enhancer
peak_15194,11,18282766,18282924,18282855,Other,Active enhancer
peak_15200,11,18323607,18323792,18323686,Other,Other region
peak_15202,11,18328379,18328495,18328448,Other,Active enhancer
peak_15205,11,18340086,18340233,18340139,Other,Active enhancer
peak_15207,11,18360089,18360198,18360141,Other,Other region
peak_15210,11,18384435,18384578,18384536,Other,Promoter
peak_15211,11,18385097,18385267,18385209,Other,Active enhancer
peak_15212,11,18385343,18385452,18385393,Other,Active enhancer
peak_15213,11,18388037,18388216,18388127,Group 2,Active enhancer
peak_15217,11,18435166,18435305,18435233,Group 1,Other region
peak_15219,11,18468047,18468152,18468109,Other,Promoter
peak_15223,11,18517741,18517883,18517838,Group 1,Other region
peak_15225,11,18556171,18556268,18556224,Other,Active enhancer
peak_15227b,11,18557234,18557487,18557386,Other,Promoter
peak_15230,11,18573606,18573719,18573658,Other,Active enhancer
peak_15232,11,18604496,18604691,18604540,Other,Promoter
peak_15234,11,18609281,18609529,18609447,Other,Active enhancer
peak_15235b,11,18609793,18610040,18609938,Other,Active enhancer
peak_15237,11,18612275,18612483,18612391,Other,Promoter
peak_15238,11,18614206,18614342,18614286,Other,Active enhancer
peak_15239,11,18615658,18615844,18615733,Group 1,Active enhancer
peak_15247,11,18691730,18691880,18691792,Other,Other region
peak_15248,11,18693872,18694031,18693954,Other,Other region
peak_15249,11,18697855,18697965,18697907,Other,Active enhancer
peak_15250,11,18702847,18703092,18703005,Other,Promoter
peak_15251,11,18705216,18705585,18705386,Other,Promoter
peak_15252,11,18706823,18707043,18706927,Other,Active enhancer
peak_15253,11,18707552,18707862,18707656,Other,Active enhancer
peak_15254,11,18711885,18712229,18711993,Group 1,Active enhancer
peak_15255,11,18713972,18714272,18714088,Group 1,Active enhancer
peak_15257b,11,18720422,18720762,18720618,Group 1,Active enhancer
peak_15258b,11,18722808,18723080,18722986,Group 2,Active enhancer
peak_15261,11,18725104,18725219,18725143,Group 2,Active enhancer
peak_15262b,11,18726442,18726708,18726641,Group 1,Active enhancer
peak_15263,11,18735748,18736083,18735920,Group 1,Active enhancer
peak_15264b,11,18740685,18741220,18740886,Group 1,Active enhancer
peak_15265a,11,18749572,18749966,18749702,Group 2,Active enhancer
peak_15266,11,18750650,18750824,18750739,Group 2,Active enhancer
peak_15271,11,18784254,18784381,18784316,Other,Active enhancer
peak_15272,11,18789501,18789736,18789598,Other,Active enhancer
peak_15274,11,18799744,18799881,18799803,Other,Promoter
peak_15275,11,18800274,18800436,18800354,Other,Promoter
peak_15277c,11,18811211,18811681,18811625,Group 1,Active enhancer
peak_15279,11,18813864,18813988,18813912,Other,Active enhancer
peak_15281,11,18819130,18819237,18819187,Other,Promoter
peak_15283,11,18872972,18873179,18873064,Upregulated,Promoter
peak_15288,11,18914314,18914460,18914404,Other,Active enhancer
peak_15289,11,18926442,18926591,18926514,Other,Other region
peak_15291,11,18956362,18956526,18956423,Other,Other region
peak_15292,11,18967983,18968152,18968083,Group 1,Active enhancer
peak_15294,11,18977230,18977489,18977371,Group 2,Active enhancer
peak_15296,11,18981533,18981873,18981686,Group 1,Active enhancer
peak_15297,11,18985873,18986039,18985957,Group 2,Active enhancer
peak_15298,11,18986496,18986620,18986568,Group 2,Active enhancer
peak_15300b,11,18992884,18993375,18993118,Group 1,Active enhancer
peak_15301,11,18998589,18998791,18998704,Group 1,Active enhancer
peak_15302a,11,19019195,19019665,19019296,Upregulated,Active enhancer
peak_15303a,11,19024785,19025202,19024904,Group 2,Active enhancer
peak_15304,11,19028590,19028730,19028655,Other,Active enhancer
peak_15312,11,19159324,19159442,19159380,Other,Promoter
peak_15317,11,19236022,19236206,19236094,Upregulated,Active enhancer
peak_15319,11,19241880,19242151,19242027,Other,Active enhancer
peak_15320,11,19242710,19242852,19242786,Other,Active enhancer
peak_15321a,11,19243210,19243435,19243277,Other,Active enhancer
peak_15326b,11,19279186,19279499,19279390,Group 1,Active enhancer
peak_15330,11,19285803,19285953,19285872,Group 1,Active enhancer
peak_15331,11,19286158,19286332,19286231,Group 1,Active enhancer
peak_15336,11,19354010,19354178,19354057,Other,Active enhancer
peak_15337,11,19376552,19376717,19376616,Other,Other region
peak_15338,11,19378242,19378412,19378333,Upregulated,Active enhancer
peak_15340a,11,19404946,19405274,19405031,Other,Active enhancer
peak_15345,11,19433701,19434010,19433892,Group 2,Promoter
peak_15349,11,19478461,19478602,19478561,Other,Other region
peak_15351,11,19502212,19502381,19502273,Other,Promoter
peak_15355,11,19576882,19577180,19577040,Upregulated,Promoter
peak_15356,11,19584637,19584765,19584698,Other,Other region
peak_15358c,11,19598302,19598808,19598693,Other,Promoter
peak_15359,11,19603177,19603292,19603237,Other,Promoter
peak_15362,11,19611905,19611977,19611934,Other,Other region
peak_15366,11,19694251,19694514,19694340,Upregulated,Promoter
peak_15368,11,19723129,19723359,19723259,Other,Other region
peak_15369,11,19729991,19730154,19730055,Other,Active enhancer
peak_15373,11,19765212,19765459,19765335,Group 2,Other region
peak_15374,11,19774555,19774705,19774609,Other,Promoter
peak_15375b,11,19775069,19775306,19775228,Other,Promoter
peak_15376,11,19780584,19780801,19780681,Other,Promoter
peak_15377,11,19781110,19781250,19781186,Other,Promoter
peak_15380,11,19814576,19814686,19814620,Upregulated,Active enhancer
peak_15388,11,19880975,19881190,19881109,Group 1,Active enhancer
peak_15394,11,19927616,19927808,19927689,Group 1,Active enhancer
peak_15396a,11,19948035,19948478,19948190,Group 2,Active enhancer
peak_15398,11,19959049,19959232,19959157,Upregulated,Active enhancer
peak_15400,11,19962582,19962717,19962676,Other,Active enhancer
peak_15402,11,20013350,20013538,20013432,Group 2,Other region
peak_15406,11,20047845,20048014,20047899,Other,Other region
peak_15409,11,20054721,20054918,20054837,Group 2,Other region
peak_15412,11,20056925,20057197,20057090,Group 2,Promoter
peak_15413,11,20061747,20061900,20061823,Other,Other region
peak_15414,11,20062190,20062328,20062249,Other,Other region
peak_15415,11,20067621,20067777,20067699,Group 2,Other region
peak_15416,11,20071767,20071903,20071840,Other,Promoter
peak_15421,11,20170060,20170210,20170121,Other,Other region
peak_15425,11,20197086,20197269,20197218,Group 1,Other region
peak_15429,11,20289556,20289687,20289603,Other,Other region
peak_15434,11,20371049,20371255,20371151,Other,Promoter
peak_15435,11,20377647,20377779,20377719,Other,Other region
peak_15436,11,20437093,20437213,20437155,Group 1,Other region
peak_15441,11,20475335,20475485,20475418,Group 1,Active enhancer
peak_15444,11,20493706,20494037,20493811,Group 1,Active enhancer
peak_15452b,11,20627652,20627836,20627785,Other,Other region
peak_15463,11,20797064,20797334,20797239,Group 2,Active enhancer
peak_15464,11,20798828,20798956,20798898,Group 1,Active enhancer
peak_15466,11,20809743,20809932,20809826,Other,Other region
peak_15472,11,20875028,20875145,20875088,Group 2,Other region
peak_15475,11,20887722,20887842,20887784,Other,Other region
peak_15477,11,20922635,20922793,20922729,Other,Other region
peak_15484,11,20987862,20988042,20987967,Upregulated,Promoter
peak_15485,11,20988168,20988314,20988244,Other,Promoter
peak_15488,11,21026630,21026813,21026708,Other,Other region
peak_15491,11,21085163,21085285,21085217,Group 1,Other region
peak_15495,11,21179010,21179173,21179128,Group 1,Active enhancer
peak_15497,11,21183715,21183888,21183804,Other,Other region
peak_15504,11,21216971,21217175,21217077,Other,Active enhancer
peak_15505,11,21218087,21218246,21218151,Other,Promoter
peak_15510,11,21234391,21234511,21234438,Group 1,Active enhancer
peak_15512b,11,21235602,21235888,21235800,Group 1,Active enhancer
peak_15513,11,21235991,21236201,21236125,Group 2,Active enhancer
peak_15521,11,21267453,21267668,21267562,Other,Promoter
peak_15525,11,21290696,21291006,21290853,Group 1,Active enhancer
peak_15527,11,21320871,21321022,21320949,Other,Other region
peak_15528,11,21325016,21325111,21325057,Other,Other region
peak_15529,11,21328748,21329014,21328838,Group 1,Other region
peak_15531,11,21363010,21363181,21363092,Other,Other region
peak_15533,11,21363710,21363832,21363780,Other,Promoter
peak_15537b,11,21439624,21439888,21439821,Other,Other region
peak_15538,11,21480987,21481125,21481031,Other,Active enhancer
peak_15539,11,21487055,21487263,21487146,Group 1,Active enhancer
peak_15545a,11,21582962,21583282,21583042,Other,Active enhancer
peak_15546,11,21585150,21585256,21585202,Other,Promoter
peak_15547,11,21586106,21586382,21586258,Other,Promoter
peak_15549,11,21606322,21606465,21606406,Other,Other region
peak_15551,11,21615370,21615514,21615433,Group 2,Other region
peak_15552,11,21616639,21616961,21616821,Group 2,Active enhancer
peak_15553,11,21617469,21617557,21617508,Other,Active enhancer
peak_15556,11,21676334,21676511,21676421,Group 1,Other region
peak_15557,11,21693158,21693336,21693264,Group 1,Active enhancer
peak_15559,11,21737420,21737677,21737527,Group 2,Active enhancer
peak_15563,11,21784364,21784534,21784484,Group 2,Active enhancer
peak_15566b,11,21801026,21801343,21801205,Group 2,Active enhancer
peak_15572b,11,21863195,21863463,21863358,Group 1,Active enhancer
peak_15573,11,21871809,21872089,21871970,Group 1,Active enhancer
peak_15575,11,21888227,21888411,21888345,Group 2,Active enhancer
peak_15576,11,21903614,21903721,21903674,Other,Other region
peak_15577a,11,21910090,21910346,21910183,Other,Promoter
peak_15578,11,21910480,21910603,21910552,Other,Promoter
peak_15580,11,21933479,21933615,21933550,Other,Other region
peak_15593,11,22082467,22082604,22082521,Group 1,Active enhancer
peak_15595,11,22086156,22086258,22086202,Other,Other region
peak_15596,11,22092342,22092562,22092429,Group 2,Other region
peak_15598,11,22109807,22109950,22109878,Other,Promoter
peak_15606,11,22183973,22184056,22184012,Other,Other region
peak_15607,11,22199472,22199751,22199605,Group 2,Active enhancer
peak_15608,11,22200046,22200240,22200105,Group 2,Active enhancer
peak_15609,11,22210220,22210313,22210268,Other,Other region
peak_15611,11,22217506,22217780,22217640,Other,Other region
peak_15614,11,22234084,22234268,22234145,Group 1,Active enhancer
peak_15616,11,22254792,22254898,22254854,Group 1,Active enhancer
peak_15617b,11,22258424,22258725,22258609,Group 1,Active enhancer
peak_15620,11,22272426,22272535,22272480,Group 1,Active enhancer
peak_15628,11,22301910,22302017,22301963,Group 1,Active enhancer
peak_15631,11,22304782,22304941,22304828,Other,Active enhancer
peak_15637,11,22361153,22361320,22361247,Other,Promoter
peak_15638,11,22372022,22372163,22372075,Other,Promoter
peak_15639,11,22374402,22374542,22374477,Other,Promoter
peak_15646,11,22424776,22424958,22424886,Other,Other region
peak_15650,11,22449549,22449714,22449605,Other,Other region
peak_15658,11,22597777,22597899,22597833,Other,Other region
peak_15669,11,22657452,22657585,22657530,Other,Other region
peak_15677,11,22747396,22747544,22747465,Group 2,Other region
peak_15678,11,22778425,22778534,22778478,Other,Other region
peak_15679,11,22778755,22778993,22778867,Other,Other region
peak_15687,11,22887334,22887483,22887403,Group 1,Other region
peak_15692,11,22917158,22917307,22917235,Group 1,Active enhancer
peak_15693,11,22925004,22925100,22925054,Other,Other region
peak_15694,11,22926404,22926522,22926459,Other,Other region
peak_15695a,11,22942363,22942692,22942483,Group 1,Active enhancer
peak_15697,11,22945507,22945662,22945581,Group 2,Active enhancer
peak_15699,11,22990343,22990510,22990397,Other,Other region
peak_15704b,11,23038539,23038859,23038788,Group 2,Active enhancer
peak_15708,11,23079756,23079959,23079858,Other,Active enhancer
peak_15709,11,23080912,23081117,23081023,Other,Promoter
peak_15716,11,23161779,23161951,23161860,Group 1,Active enhancer
peak_15717,11,23178648,23178766,23178736,Other,Active enhancer
peak_15729,11,23347504,23347668,23347589,Upregulated,Other region
peak_15737,11,23464695,23464909,23464794,Group 2,Active enhancer
peak_15742,11,23498809,23499074,23498950,Group 2,Other region
peak_15750,11,23557034,23557236,23557116,Other,Other region
peak_15753,11,23591321,23591564,23591408,Group 1,Active enhancer
peak_15754,11,23591816,23592026,23591961,Other,Active enhancer
peak_15755,11,23592378,23592487,23592440,Other,Active enhancer
peak_15756,11,23592846,23593018,23592942,Other,Active enhancer
peak_15765,11,23650318,23650424,23650367,Other,Other region
peak_15766,11,23656492,23656770,23656643,Group 2,Other region
peak_15767,11,23677734,23677836,23677784,Other,Active enhancer
peak_15768,11,23693963,23694246,23694144,Other,Active enhancer
peak_15769b,11,23696438,23696867,23696731,Other,Promoter
peak_15772,11,23704581,23704701,23704624,Other,Promoter
peak_15773,11,23707998,23708197,23708107,Other,Other region
peak_15778,11,23731009,23731234,23731111,Group 1,Active enhancer
peak_15779,11,23745154,23745284,23745223,Group 1,Active enhancer
peak_15782,11,23760467,23760738,23760558,Other,Promoter
peak_15785,11,23779745,23779887,23779801,Other,Other region
peak_15790,11,23832545,23832817,23832674,Group 1,Active enhancer
peak_15794,11,23895442,23895572,23895515,Other,Promoter
peak_15796,11,23932664,23932826,23932759,Other,Promoter
peak_15798,11,23951097,23951391,23951264,Group 1,Active enhancer
peak_15805,11,24007598,24007775,24007680,Group 2,Active enhancer
peak_15806,11,24034270,24034454,24034345,Other,Promoter
peak_15809,11,24045731,24045890,24045789,Other,Promoter
peak_15815,11,24063869,24064099,24063997,Upregulated,Promoter
